Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C6, C9",1206,4,10uF,
"C10, C3, C4, C7",1206,4,1nF,
"C11, C2, C5, C8",1206,4,100nF,
CC1,1206,1,C,
D1,D_SMB,1,TVS 10-12V,
"J1, J2, J3, J4, J5, J6, J8, J9",TerminalBlock_4Ucon_1x02_P3.50mm_Vertical,8,Screw_Terminal_01x02,
J7,SMA_Amphenol_132134_Vertical,1,Screw_Terminal_01x02,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,Jumper_2_Bridged,
"R1, R14, R15, R16, R17, R2, R3, R4, R5, R6, R7, R8, R9",2512,13,50,
"R10, R13",1206,2,DNP,
R11,1206,1,220,
R12,1206,1,680,
"R18, R19, R20",1206,3,1000,
"RCL+1, RCL-1, RF1, RI1, RL1",1206,5,R,
U1,PA08,1,PA119CE,
U2,TO220-7_T_LIT,1,LT1210CT7-PBF,
