Designator,Mid X,Mid Y,Rotation,Layer
C1,180.85,-107.375,180.0,top
C10,95.6,-112.975,90.0,top
C11,100.1,-112.975,90.0,top
C12,104.6,-112.975,90.0,top
C2,180.85,-102.875,180.0,top
C3,180.85,-98.375,180.0,top
C4,170.625,-98.375,0.0,top
C5,170.625,-102.875,0.0,top
C6,170.625,-107.375,0.0,top
C7,110.45,-105.375,270.0,top
C8,105.95,-105.375,270.0,top
C9,101.45,-105.375,270.0,top
CC1,148.9,-62.7,0.0,top
D1,184.2,-62.775,0.0,top
J1,174.25,-118.145,0.0,top
J2,133.2,-118.145,0.0,top
J3,81.95,-52.175,0.0,top
J4,94.95,-52.175,0.0,top
J5,108.6,-52.17,0.0,top
J6,121.6,-52.17,0.0,top
J7,175.24,-52.1675,0.0,top
J8,188.5425,-52.1675,0.0,top
J9,154.575,-118.075,0.0,top
R1,109.35,-86.05,270.0,top
R11,97.6,-93.1105,180.0,top
R12,90.3,-93.1695,180.0,top
R14,85.55,-76.6,270.0,top
R15,85.55,-67.1,270.0,top
R16,91.3,-76.6,270.0,top
R17,91.3,-67.1,270.0,top
R18,145.54,-114.62,90.0,top
R19,144.02,-110.59,180.0,top
R2,109.35,-76.55,270.0,top
R20,151.27,-110.59,0.0,top
R3,109.35,-67.05,270.0,top
R4,115.1,-86.05,270.0,top
R5,115.1,-76.55,270.0,top
R6,115.1,-67.05,270.0,top
R7,120.85,-86.05,270.0,top
R8,120.85,-76.55,270.0,top
R9,120.85,-67.05,270.0,top
RCL+1,156.25,-96.2,0.0,top
RCL-1,156.3,-62.7,0.0,top
RF1,161.3,-61.25,270.0,top
RI1,166.875,-62.8,0.0,top
RL1,142.275,-62.75,180.0,top
U1,155.3,-79.5,0.0,top
U2,92.2,-100.765,180.0,top
